user_id,source, category
1840e0b9d4,other, Продукты
4e4f90fcfb,context, Электроника
afea8d72fc,other, Электроника
373a6055fe,other, Бытовая техника
9b2ab046f3,other, Электроника
9f39d307c3,context, Электроника
44edeffc91,context, Продукты
704474fa2d,other, Продукты
1de31be403,other, Бытовая техника
b71f36a5e4,other, Продукты
79843a685a,context, Продукты
ff68cee0d6,context, Бытовая техника
e8447c40e2,email, Досуг
98d290be27,other, Электроника
fa0079a5a8,other, Досуг
22d2f03a17,context, Досуг
3f8e1ccd3f,other, Электроника
81a9988b83,context, Электроника
65f44a2eb7,context, Досуг
5f8fbb0149,other, Бытовая техника
3ecff691fd,context, Электроника
dd0e912251,other, Электроника
9250593d55,other, Электроника
37c4e090e4,other, Электроника
22fa3ea76f,other, Электроника
73b876b237,context, Электроника
f983a69d67,other, Товары для животных
4ea17212f8,other, Продукты
c6de96a5e2,other, Товары для животных
d8e3bcee53,context, Продукты
680aa815f9,other, Продукты
4a92a68cf9,other, Электроника
905e60cb52,other, Бытовая техника
393bcfb298,other, Продукты
06d450cc57,context, Электроника
b60ce22f17,other, Электроника
6f159c4c2e,other, Товары для животных
564202f6bd,context, Электроника
1908683775,other, Электроника
8fd957a463,other, Продукты
72e0a3f1d0,other, Бытовая техника
7f5f56e517,other, Досуг
bc1a0a7e26,other, Досуг
17639fe89d,other, Досуг
74c9201f84,context, Электроника
bc4ebda0df,other, Досуг
fe4615dd15,other, Досуг
d2c560746d,other, Бытовая техника
f0a93d52d2,other, Электроника
fe52ded300,other, Электроника
dbe70d84e4,context, Строительство и ремонт
f660dbcc3f,context, Электроника
f93283c9ee,other, Бытовая техника
66bea9bf58,other, Бытовая техника
111c52d9bc,other, Продукты
16dc76e94d,other, Электроника
87f37b380c,other, Продукты
830421d975,other, Продукты
7d6c62f0a2,context, Бытовая техника
77465a0b61,other, Бытовая техника
ee9eb52181,email, Товары для животных
871c1fa9ae,other, Продукты
03b91dba06,other, Электроника
6cb42b2632,email, Бытовая техника
9ab8f3bbb8,context, Бытовая техника
63df9ee9d3,context, Электроника
2ffd6c724d,other, Продукты
af24cffd03,context, Электроника
421149bb9a,other, Строительство и ремонт
24300c6d1c,other, Электроника
9ca11a651f,email, Электроника
b7e640032f,other, Электроника
3691ad282b,other, Электроника
00ea2f7484,other, Электроника
6f198ac1c9,other, Бытовая техника
0d479d4259,other, Электроника
b461051101,other, Досуг
d39a1d56c3,context, Бытовая техника
316ab03143,None, Товары для животных
78ed39a415,other, Электроника
19d1e4e036,context, Товары для животных
9e765c6822,other, Продукты
ddd50eaa45,other, Электроника
c21b82499e,context, Электроника
da79d9ff30,other, Товары для животных
eded5c6792,context, Досуг
e3654c7f1a,other, Досуг
d20bf10c78,other, Бытовая техника
12de58d8e6,other, Продукты
de85ea0eb6,other, Электроника
dfe6f4ebb4,other, Бытовая техника
9d25ac3886,context, Досуг
d47dd8b814,other, Электроника
c5e1bf636a,context, Электроника
a86e69db63,other, Продукты
91802f78b2,other, Электроника
152ea9bb42,other, Бытовая техника
06569907e6,other, Бытовая техника
9f5bf9b73f,other, Строительство и ремонт
ec11793734,other, Продукты
0cf6ee6c84,context, Бытовая техника
f9a3ef9ac2,context, Продукты
716a1b4e10,context, Продукты
426fa041ad,other, Электроника
c0cd6e93e6,other, Электроника
85ff218333,other, Строительство и ремонт
f537f6c8ea,other, Бытовая техника
749e8694c5,context, Товары для животных
29586e4061,other, Продукты
e9eaffa80a,context, Бытовая техника
da237781d5,context, Продукты
b7195283e1,other, Товары для животных
62f37b821c,context, Досуг
69ae0afab1,other, Продукты
7fa3bf64b4,other, Досуг
4e603d8878,other, Строительство и ремонт
6812661e1c,other, Электроника
6aff7a1677,context, Бытовая техника
88afad2ad9,other, Продукты
0fa7c5b19c,other, Товары для животных
bed9ab14bd,other, Товары для животных
397005e41e,other, Бытовая техника
80023b95ac,other, Электроника
9fb91262f8,other, Бытовая техника
f34a165ad2,other, Электроника
5b7c1e9769,email, Бытовая техника
5655da0e0b,other, Электроника
ef33021c36,context, не определена
b15321ea7c,other, Продукты
0d4f4664e0,context, Продукты
a2468d6c33,context, Электроника
a8660dcfae,context, Бытовая техника
a7bfa5d0cc,context, Досуг
6e6293a54b,context, Досуг
48b9ea8b65,other, Электроника
fb9acee964,None, Бытовая техника
69775511be,context, Досуг
95bf67fda9,other, Продукты
ca899d23dd,other, Бытовая техника
2de051e056,context, Электроника
0da9ca70fe,context, Продукты
fcc5bebc42,context, Бытовая техника
51f6ce88cc,other, Бытовая техника
74a55eee1d,other, Электроника
69475b45df,context, Бытовая техника
816800e62f,context, Бытовая техника
28ce699720,other, Бытовая техника
f0d57ef042,other, Электроника
c577b4b31e,other, Продукты
4038202869,other, Электроника
